Название,Победитель,Год выпуска,Жанр,Страна выпуска,Рейтинг
Дюна: Часть вторая,False,2024,фантастика,США,8.2
Я всё ещё здесь,False,2024,драма,Бразилия,7.3
Конклав,False,2024,триллер,Великобритания,7.3
Злая: Сказка о ведьме Запада,False,2024,мюзикл,США,7.0
Боб Дилан: Никому не известный,False,2024,биография,США,6.8
Бруталист,False,2024,драма,США,6.8
Анора,True,2024,драма,США,6.5
Эмилия Перес,False,2024,мюзикл,Франция,6.4
Субстанция,False,2024,ужасы,Великобритания,6.3
Мальчишки из «Никеля»,False,2024,драма,США,6.3
Оппенгеймер,True,2023,биография,США,8.1
Оставленные,False,2023,драма,США,7.7
Бедные-несчастные,False,2023,драма,Ирландия,7.6
Прошлые жизни,False,2023,мелодрама,США,7.4
Американское чтиво,False,2023,драма,США,7.3
Убийцы цветочной луны,False,2023,драма,США,7.2
Зона интересов,False,2023,драма,Великобритания,6.9
Анатомия падения,False,2023,драма,Франция,6.8
Барби,False,2023,комедия,США,6.6
Маэстро,False,2023,биография,США,6.2
Аватар: Путь воды,False,2022,фантастика,США,7.7
Топ Ган: Мэверик,False,2022,боевик,США,7.7
На Западном фронте без перемен,True,2022,военный,Германия,7.6
Фабельманы,False,2022,драма,США,7.5
Банши Инишерина,False,2022,драма,Ирландия,7.5
Всё везде и сразу,True,2021,фантастика,США,7.2
Тар,False,2022,драма,США,7.1
Элвис,False,2022,биография,США,7.1
Треугольник печали,False,2022,драма,Великобритания,6.5
Говорят женщины,False,2022,драма,США,6.2
CODA: Ребенок глухих родителей,True,2020,драма,Франция,8.0
Дюна,False,2021,фантастика,США,7.7
Король Ричард,False,2021,биография,США,7.6
Не смотрите наверх,False,2021,драма,США,7.5
Сядь за руль моей машины,False,2021,драма,Япония,7.3
Аллея кошмаров,False,2021,триллер,США,7.1
Лакричная пицца,False,2021,драма,США,7.0
Белфаст,False,2021,драма,Великобритания,7.0
Вестсайдская история,True,2021,мюзикл,США,6.7
Власть пса,False,2021,драма,Новая Зеландия,6.6
Отец,False,2020,драма,Великобритания,7.8
Суд над чикагской семеркой,False,2020,триллер,США,7.6
Звук металла,False,2019,драма,США,7.3
Земля кочевников,True,2020,драма,США,7.2
Манк,False,2020,биография,США,7.0
Минари,False,2020,драма,США,6.9
"Девушка, подающая надежды",False,2020,триллер,Великобритания,6.8
Иуда и чёрный мессия,False,2020,биография,США,6.4
Ford против Ferrari,False,2019,биография,США,8.2
Паразиты,True,2019,драма,Корея Южная,8.0
Джокер,False,2019,драма,США,8.0
Кролик Джоджо,False,2019,комедия,Чехия,7.9
1917,False,2019,военный,Великобритания,7.9
Маленькие женщины,False,2019,драма,США,7.8
Однажды в… Голливуде,False,2019,драма,США,7.7
История о супружестве,False,2019,драма,Великобритания,7.6
Ирландец,False,2019,криминал,США,7.4
Зеленая книга,True,2018,биография,США,8.5
Богемская рапсодия,False,2018,биография,Великобритания,8.0
Звезда родилась,False,2018,мелодрама,США,7.4
Фаворитка,False,2018,драма,Великобритания,7.3
Власть,False,2018,драма,США,7.2
Рома,False,2018,драма,Мексика,7.2
Чёрный клановец,False,2018,драма,США,6.8
Чёрная Пантера,False,2018,фантастика,США,6.6
"Три билборда на границе Эббинга, Миссури",False,2017,драма,Великобритания,8.1
Назови меня своим именем,False,2017,драма,Италия,7.6
Темные времена,False,2017,драма,Великобритания,7.4
Дюнкерк,False,2017,военный,Великобритания,7.3
Прочь,False,2017,ужасы,США,7.1
Призрачная нить,False,2017,драма,США,7.1
Леди Бёрд,False,2017,драма,США,7.0
Форма воды,True,2017,фантастика,США,6.9
Секретное досье,False,2017,триллер,США,6.8
По соображениям совести,False,2016,биография,США,8.2
Лев,False,2016,драма,Австралия,8.2
Ла-Ла Ленд,False,2016,мюзикл,США,8.0
Скрытые фигуры,False,2016,драма,США,8.0
Прибытие,False,2016,фантастика,США,7.6
Манчестер у моря,False,2016,драма,США,7.3
Любой ценой,False,2016,боевик,США,7.2
Ограды,False,2016,драма,США,6.9
Лунный свет,True,2016,драма,США,6.2
Выживший,False,2015,приключения,США,7.8
Безумный Макс: Дорога ярости,False,2015,боевик,Австралия,7.8
Марсианин,False,2015,фантастика,США,7.8
В центре внимания,True,2015,драма,США,7.7
Комната,False,2015,триллер,Ирландия,7.6
Шпионский мост,False,2015,триллер,США,7.5
Игра на понижение,False,2015,драма,США,7.4
Бруклин,False,2015,драма,Ирландия,7.1
Одержимость,False,2013,драма,США,8.4
Отель «Гранд Будапешт»,False,2014,комедия,США,7.9
Вселенная Стивена Хокинга,False,2014,биография,Великобритания,7.9
Игра в имитацию,False,2014,биография,США,7.8
Бёрдмэн,True,2014,драма,США,7.7
Отрочество,False,2014,драма,США,7.4
Снайпер,False,2014,боевик,США,7.0
Сельма,False,2014,драма,США,6.7
Волк с Уолл-стрит,False,2013,драма,США,8.0
Далласский клуб покупателей,False,2013,драма,США,7.9
